id,originals_pca_x,originals_pca_y,summaries_pca_x,summaries_pca_y,originals_tsne_x,originals_tsne_y,summaries_tsne_x,summaries_tsne_y
Example 6.10,-0.14655806,-0.027705971,-0.10213543,0.1493036,-6.32262,0.35626134,-9.2583,-5.446503
Example 7.1,0.1828141,0.19305384,0.019383518,0.13845937,-0.29378128,-8.141667,-3.873079,3.3898194
Example 7.2,0.13465993,0.18058287,0.07842089,0.22201228,-1.5765367,-7.99222,-5.9709477,3.4224405
Example 7.3,0.16351175,0.14372185,0.14252844,0.122994184,-1.8020809,-8.43437,-6.3481402,1.6655864
Design Example 7.4,0.1982523,0.21799871,0.30118474,0.104287416,0.7421792,-6.824798,-8.023925,3.052131
Example 7.5,0.04923262,-0.016420772,0.15433584,0.05642967,1.9219782,-3.8962157,-6.199503,0.43048763
Example 7.6,0.08567014,0.2899641,0.059904646,0.23240376,0.061500758,-5.5796227,-2.731828,3.0116658
Design Example 7.7,0.21306835,0.17841761,0.27789935,0.048162594,1.8449833,-6.6122055,-8.492468,3.7339988
Example 8.1,0.086949565,0.31365183,0.07565423,0.23715194,-1.5050685,-6.3750434,-7.086006,-2.4399827
Example 8.2,0.1987529,0.28113616,0.19228855,0.33629987,-5.072775,-6.2134557,-10.353267,0.38188773
Example 8.3,0.117181726,0.21996532,0.2360622,0.35625124,-1.6584538,-4.4042535,-8.734896,1.1455343
Example 8.4,0.10542771,0.23776309,0.046385363,0.17547569,-1.9964855,-3.3955438,-10.525395,-1.4623146
Example 8.5,0.08347006,0.10308203,0.10829913,0.1630851,-3.7998245,-3.561001,-10.834881,2.5269182
Example 8.6,0.1962426,0.2679174,0.21467127,0.3674474,-4.768969,-5.8154044,-11.113618,0.44810796
Example 8.7,0.14745305,0.07273989,0.20541655,0.20664623,1.2379466,-3.7783475,-8.121531,-0.57846713
Example 9.1,0.14239681,0.028548066,-0.023017881,-0.06872099,-4.854833,-11.312689,-7.866004,7.943985
Example 9.2,0.08830425,0.06054463,0.032056745,-0.086403534,-5.431768,-10.613396,-9.889957,7.8934665
Example 9.3,0.04373819,-0.150873,0.06752879,-0.18893023,-5.9703093,-11.886702,-8.462007,8.834484
Example 9.4,-0.0021370852,-0.03099792,-0.026755868,0.011336053,-6.6559763,-9.386123,-10.919404,7.9704385
Example 9.5,0.2067023,0.1479233,0.16756998,0.23454797,-5.6670914,-7.8845363,-11.700785,4.508685
Example 9.6,0.21353541,0.04356111,0.19876209,0.006729783,-3.0384002,-4.4634104,-11.320432,5.543098
Example 9.7,0.10506164,0.0107927155,-0.01966227,-0.016692199,-3.5805879,-10.322833,-6.324642,6.163279
Example 9.8,0.023656957,0.055011116,-0.0025063849,0.03524688,-1.5252609,-13.027346,9.421535,2.5883725
Example 10.1,0.017370049,0.14099738,0.019543482,0.047010276,-2.5892646,-9.808665,-5.9200196,5.1554437
Example 10.2,0.15714346,0.04928454,0.045882873,-0.092583545,11.72325,-15.386078,4.516482,-2.2123811
Example 10.3,0.09876329,-0.0635201,0.07696441,-0.14597692,11.8705845,-12.889408,4.3678255,-3.8897934
Example 10.4,0.12421239,-0.11734935,0.09773101,-0.18849052,9.683757,-15.798597,6.192804,-3.6822343
Example 10.5,0.22796549,-0.06681625,0.2479926,-0.1243654,9.493703,-15.612441,7.3183928,-3.153471
Example 10.6,0.061162636,-0.07549503,0.08671771,-0.14904639,11.583456,-12.976036,4.247931,-4.688118
Example 10.7,0.36468032,-0.21085182,0.22329283,-0.22359858,3.8052914,-14.800894,9.377063,-9.171151
Example 10.8,0.09556799,-0.03980109,0.07433034,-0.024083165,-7.9885926,2.2430012,7.192859,-8.682741
Example 10.9,0.16836396,-0.18627594,0.1154573,-0.31350917,7.7037992,-16.033424,9.668098,-6.082481
Example 10.10,0.14964654,-0.31130815,0.1462394,-0.34476903,8.15515,-11.003444,9.122086,-11.778594
Example 11.1,0.38003194,-0.1428658,0.31041613,-0.10206645,5.6075945,-13.689207,12.539233,-7.5851765
Example 11.2,0.060244992,0.08898284,0.13702829,-0.049016304,0.20662756,-1.4549999,7.3527846,-1.8027409
Example 11.3,0.3190064,-0.33367816,0.36288247,-0.20420994,5.6037526,-15.869835,11.597039,-7.2051196
Example 11.4,0.32474142,-0.27401653,0.29017404,-0.28490144,4.7515607,-15.960055,10.673616,-7.8885875
Example 11.5,0.37518257,-0.1256505,0.33368772,-0.21698117,2.1962872,-10.962681,11.266463,-5.173402
Example 11.6,0.24832515,-0.11608755,0.2740155,-0.21929513,8.324307,-17.239965,8.709578,-3.9422848
Exercise 11.7,0.09969407,-0.110790156,-0.015220626,-0.16886188,9.791025,-17.47907,7.093353,-5.2385597
Example 12.1,0.11591152,-0.11131411,0.22790042,0.10589235,6.799865,-1.606705,0.49574596,-13.126338
Example 12.2,0.024328347,-0.14733164,0.17683381,0.046033066,-11.114733,-3.6113408,-1.213281,-13.77914
Example 12.3,0.021655686,-0.05798019,0.15234931,0.14169605,8.869504,0.80592906,0.39657217,-15.4253025
Example 12.4,0.16549107,-0.037790813,0.26704744,0.13240716,6.59651,-1.4262333,0.8131292,-12.714801
Example 12.5,0.17683853,-0.15022095,0.19974785,0.005770152,-11.008095,-3.9551842,-2.0358639,-13.659523
Example 12.6,0.122795396,-0.05612245,0.18531393,0.096914284,8.954969,0.36023584,0.9469612,-15.802239
Example 12.7,0.20676288,0.02398217,0.21843526,0.02882399,8.251743,-2.6180167,2.4864078,-14.141017
Example 12.8,0.102404326,0.025977127,0.20703569,-0.073996276,6.754755,-4.1315036,1.2220063,-17.536797
Example 12.9,0.013862471,0.12069708,0.045123544,0.09533742,5.1564155,0.7313189,4.860745,1.4870205
Example 12.10,0.24476202,0.0018459641,0.2603162,-0.10128182,6.8531504,-5.979755,1.4862103,-9.483534
Example 12.11,0.19987449,-0.05652321,0.26635876,-0.10334326,7.3541374,-6.039553,1.6954772,-10.208826
Example 12.12,0.054233246,-0.08632311,0.17791577,0.061730534,9.514274,-5.252353,2.3365674,-16.001593
Example 12.13,0.1301502,-0.14042561,0.1250067,-0.15549022,9.678985,-2.497688,7.2896185,-13.592902
Example 12.14,0.17757694,-0.13191883,0.18437548,-0.07707703,8.163308,-4.1578407,4.834484,-14.441228
Example 13.1,0.3870637,-0.03074359,0.40821603,-0.124946386,3.7602093,-11.114717,-3.091843,10.140138
Example 13.2,0.4165451,-0.022767887,0.4233799,-0.13744174,3.4268394,-11.702394,-3.7566502,9.524984
Example 13.3,0.33067182,-0.08585862,0.4103647,-0.07301851,4.7692065,-10.468995,-3.622755,10.991249
Example 13.4,0.23993574,-0.0070022596,0.27513,-0.0386002,5.1398673,-9.607354,14.991329,-3.607008
Design Example 13.5,0.31507182,-0.31944153,0.32464188,-0.29723102,1.5962456,-15.2675705,10.697554,-1.6573486
Example 13.6,0.35617125,-0.15011884,0.3966733,-0.22324532,2.0048604,-13.634032,12.251288,-1.9268528
Design Example 13.7,0.35275796,-0.13570793,0.43622944,-0.117880516,2.9124105,-13.864662,13.258843,-2.198337
Example 13.8,0.35687137,-0.14846185,0.40456358,-0.05855154,5.7302847,-12.937224,14.243521,-6.331434
Example 13.9,0.16341616,-0.17246969,0.20647378,-0.141545,7.266188,-10.545297,9.378956,-12.669583
Example 13.10,0.075209044,-0.055708256,0.046367288,-0.13525306,0.14863802,-15.143716,10.165702,1.6716931
Example 14.1,-0.2205234,-0.08483312,-0.18482707,-0.19257165,-7.596449,9.1341915,14.1299925,11.409675
Example 14.2,-0.2367355,0.045070488,-0.21841478,0.058736607,-5.784161,7.4073815,-7.614841,-9.947462
Example 14.3,0.085321315,0.15173192,0.046205178,0.22591567,-3.175292,-7.106571,-13.051498,1.1732248
Example 14.4,-0.060996428,0.09845475,-0.021431722,0.20744152,-7.9786553,8.12863,-14.024494,-3.1874409
Example 14.5,0.077308744,0.2023222,0.049821757,0.37174013,-6.0401363,-4.856363,-13.236805,-1.2938211
Example 14.6,-0.030244047,0.13068701,0.034610696,0.12597573,-6.9038606,-3.9197268,-13.995545,-1.8993747
Example 14.7,-0.20707846,-0.17471996,-0.1606669,-0.19063064,-7.7017198,11.910411,11.6710615,9.853635
Example 14.8,-0.21863717,-0.17843874,-0.20562507,-0.23244318,-9.345668,10.645008,13.167948,9.123499
Example 14.9,-0.15062234,-0.22203238,-0.18180169,-0.29116318,-9.830401,10.644465,13.42251,8.626703
Example 15.1,0.11959,-0.1977303,0.16628058,-0.18739861,9.175388,-6.2094584,3.2255368,-12.889698
Example 15.2,0.18779528,-0.22159828,0.22520295,-0.23003615,-10.194577,0.36912125,5.4795794,-8.97911
